Movie Title,Release Date,Rating,Popularity,Vote Count
Spider-Man: Brand New Day,2026-07-29,7.881,1872.4338,1901
The Odyssey,2026-07-15,7.991,778.47,2925
Spider-Man: No Way Home,2021-12-15,7.941,438.3768,22737
Rage of Stars,2026-08-06,5.4,339.1926,5
Minions & Monsters,2026-06-24,7.5,288.8608,741
Colony,2026-05-21,8.114,300.1541,537
Toy Story 5,2026-06-17,7.805,388.1231,1046
The Last House,2026-08-06,6.916,243.5797,865
Obsession,2026-05-13,8.2,238.3554,4821
The Death of Robin Hood,2026-06-18,6.273,212.8565,227
The End of Oak Street,2026-08-12,6.6,217.1636,235
Evil Dead Burn,2026-07-07,7.867,169.309,1171
Moana,2026-07-08,6.015,178.6083,199
Disclosure Day,2026-06-10,7.455,175.2468,2885
Supergirl,2026-06-24,6.747,138.8174,1929
Spider-Man: Homecoming,2017-07-05,7.334,129.1004,23680
Soulm8te,2026-07-31,7.205,132.0729,200
Backrooms,2026-05-27,7.1,131.2784,2835
Scary Movie,2026-06-03,6.44,127.5083,1667
Hotel Desire,2011-12-07,6.172,137.406,154
