Movie Title,Release Date,Rating,Popularity,Vote Count
Avatar Aang: The Last Airbender,2026-07-24,9.227,110.9348,897
Accidental Partners,2026-03-12,8.9,24.8184,354
Swapped,2026-05-01,8.881,50.529,2111
The Shawshank Redemption,1994-09-23,8.728,88.7998,31074
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,8.734,92.4348,1886
The Godfather,1972-03-14,8.686,57.6588,23371
Michael,2026-04-22,8.675,81.9152,4076
Project Hail Mary,2026-03-15,8.654,127.2495,7153
The Godfather Part II,1974-12-20,8.572,30.7144,14192
Schindler's List,1993-12-15,8.6,36.2824,17757
12 Angry Men,1957-04-10,8.568,27.3162,10248
Young Hearts,2024-10-26,8.567,16.7894,304
The Dark Knight,2008-07-16,8.534,61.3608,36433
Spirited Away,2001-07-20,8.5,31.842,18714
Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.527,30.4075,1124
The Green Mile,1999-12-10,8.506,33.045,19636
Dilwale Dulhania Le Jayenge,1995-10-20,8.5,13.9509,4613
The Lord of the Rings: The Return of the King,2003-12-17,8.504,50.5079,27114
Parasite,2019-05-30,8.49,37.6515,21115
Your Name.,2016-07-01,8.485,27.3264,12869
